sepalLength	sepalWidth	petalLength	petalWidth	species
1.1	1.5	1.4	0.2	setosa
2.9	1.3	1.4	0.2	setosa
2.7	1.2	1.3	0.2	setosa
2.6	1.1	1.5	0.2	setosa
2.0	1.6	1.4	0.2	setosa
1.4	1.9	1.7	0.4	setosa
1.6	1.4	1.4	0.3	setosa
1.0	1.4	1.5	0.2	setosa
1.4	1.9	1.4	0.2	setosa
1.9	1.1	1.5	0.1	setosa
1.4	1.7	2.5	0.2	setosa
1.8	1.4	2.6	0.2	setosa
1.8	1.1	3.4	0.1	setosa
1.3	1.2	3.1	0.1	setosa
1.8	1.3	3.2	0.2	setosa
1.7	1.4	2.5	0.4	setosa
1.4	1.9	2.3	0.4	setosa
1.1	1.5	2.4	0.3	setosa
1.7	1.8	4.7	0.3	setosa
1.1	1.8	4.5	0.3	setosa
1.4	1.4	4.7	0.2	setosa
1.1	1.7	1.5	0.4	setosa
1.6	1.6	1.0	0.2	setosa
1.1	1.3	1.7	0.5	setosa
1.8	1.4	1.9	0.2	setosa
1.0	1.3	1.6	0.2	setosa
1.0	1.4	1.6	0.4	setosa
1.2	1.5	1.5	0.2	setosa
1.2	1.4	1.4	0.2	setosa
3.7	1.2	1.6	0.2	setosa
3.8	1.1	1.6	0.2	setosa
3.4	1.4	1.5	0.4	setosa
3.2	1.1	1.5	0.1	setosa
3.5	1.2	1.4	0.2	setosa
3.9	1.1	1.5	0.2	setosa
3.0	1.2	1.2	0.2	setosa
3.5	1.5	1.3	0.2	setosa
3.9	1.6	1.4	0.1	setosa
3.4	1.4	1.3	0.2	setosa
3.1	1.4	1.5	0.2	setosa
3.0	1.5	1.3	0.3	setosa
3.5	1.3	1.3	0.3	setosa
3.4	1.2	1.3	0.2	setosa
3.0	1.5	1.6	0.6	setosa
3.1	1.8	1.9	0.4	setosa
1.8	1.8	1.4	0.3	setosa
1.1	1.8	1.6	0.2	setosa
1.6	1.2	1.4	0.2	setosa
1.3	1.7	1.5	0.2	setosa
1.0	1.3	1.4	0.2	setosa
1.0	1.2	4.7	1.4	versicolor
1.4	1.2	4.5	1.5	versicolor
1.9	1.1	4.9	1.5	versicolor
1.5	1.3	4.0	1.3	versicolor
1.5	1.8	4.6	1.5	versicolor
1.7	1.8	4.5	1.3	versicolor
1.3	1.3	4.7	1.6	versicolor
2.9	1.4	3.3	1.0	versicolor
2.6	1.9	4.6	1.3	versicolor
2.2	1.7	3.9	1.4	versicolor
3.0	1.3	3.5	1.0	versicolor
2.9	1.5	4.2	1.5	versicolor
3.0	1.2	4.0	1.0	versicolor
3.1	1.9	4.7	1.4	versicolor
3.6	1.9	3.6	1.3	versicolor
2.7	1.1	4.4	1.4	versicolor
2.6	1.9	4.5	1.5	versicolor
2.8	1.7	4.1	1.0	versicolor
2.2	1.2	4.5	1.5	versicolor
2.6	1.5	3.9	1.1	versicolor
2.9	1.2	4.8	1.8	versicolor
2.1	1.8	4.0	1.3	versicolor
2.3	1.5	4.9	1.5	versicolor
2.1	1.8	4.7	1.2	versicolor
2.4	1.9	4.3	1.3	versicolor
2.6	1.0	4.4	1.4	versicolor
2.8	1.8	4.8	1.4	versicolor
2.7	1.7	5.0	1.7	versicolor
2.0	1.9	4.5	1.5	versicolor
2.7	1.6	3.5	1.0	versicolor
2.5	1.4	3.8	1.1	versicolor
2.5	1.4	3.7	1.0	versicolor
2.8	1.7	3.9	1.2	versicolor
2.0	1.7	5.1	1.6	versicolor
2.4	1.6	4.5	1.5	versicolor
2.0	1.4	4.5	1.6	versicolor
2.7	1.1	4.7	1.5	versicolor
2.3	1.3	4.4	1.3	versicolor
2.6	1.3	4.1	1.3	versicolor
2.5	1.5	4.0	1.3	versicolor
2.5	1.6	4.4	1.2	versicolor
2.1	1.9	4.6	1.4	versicolor
2.8	1.6	4.0	1.2	versicolor
2.0	1.3	3.3	1.0	versicolor
2.6	2.7	4.2	1.3	versicolor
2.7	3.0	4.2	1.2	versicolor
2.7	2.9	4.2	1.3	versicolor
2.2	2.9	4.3	1.3	versicolor
2.1	2.5	3.0	1.1	versicolor
2.7	2.8	4.1	1.3	versicolor
2.3	3.3	6.0	2.5	virginica
2.8	2.7	5.1	1.9	virginica
2.1	3.0	5.9	2.1	virginica
2.3	2.9	5.6	1.8	virginica
2.5	3.0	5.8	2.2	virginica
2.6	3.0	6.6	2.1	virginica
2.9	2.5	4.5	1.7	virginica
2.3	2.9	6.3	1.8	virginica
2.7	2.5	5.8	1.8	virginica
2.2	3.6	6.1	2.5	virginica
2.5	3.2	5.1	2.0	virginica
2.4	2.7	5.3	1.9	virginica
2.8	3.0	5.5	2.1	virginica
2.7	2.5	5.0	2.0	virginica
2.8	2.8	5.1	2.4	virginica
2.4	3.2	5.3	2.3	virginica
2.5	3.0	5.5	1.8	virginica
2.7	3.8	6.7	2.2	virginica
2.7	2.6	6.9	2.3	virginica
2.0	2.2	5.0	1.5	virginica
2.9	3.2	6.7	2.3	virginica
2.6	2.8	5.9	1.0	virginica
2.7	2.8	4.7	2.0	virginica
2.3	2.7	3.9	3.8	virginica
2.7	3.3	2.7	3.1	virginica
2.2	3.2	3.0	3.8	virginica
2.2	2.8	2.8	4.8	virginica
2.1	3.0	1.9	5.8	virginica
2.4	2.8	1.6	4.1	virginica
2.2	3.0	1.8	3.6	virginica
2.4	2.8	6.1	2.9	virginica
2.9	3.8	6.4	2.0	virginica
2.4	2.8	5.6	3.2	virginica
2.3	2.8	5.1	4.5	virginica
2.1	2.6	5.6	4.4	virginica
2.7	3.0	6.1	3.3	virginica
2.3	3.4	5.6	2.4	virginica
2.4	3.1	5.5	2.8	virginica
2.0	3.0	4.8	1.8	virginica
2.9	3.1	5.4	2.1	virginica
2.7	3.1	5.6	3.4	virginica
2.9	3.1	5.1	4.3	virginica
2.8	2.7	5.1	3.9	virginica
2.8	3.2	5.9	2.3	virginica
2.7	3.3	5.7	1.5	virginica
2.7	3.0	5.2	4.3	virginica
2.3	2.5	5.0	4.9	virginica
2.5	3.0	5.2	2.0	virginica
2.2	3.4	5.4	2.3	virginica
2.9	1.8	5.1	1.8	virginica